cell_line,transfection_method,gene_formatted,gene_base,cell_death_mean,cell_death_std,n
PH5CH8,Lipo,Unknown_G7,Unknown_G7,99.30331567879078,,1
PH5CH8,Lipo,Unknown_H1,Unknown_H1,99.75148192975041,,1
PH5CH8,Lipo,Unknown_H2,Unknown_H2,99.54639356552136,,1
PH5CH8,Lipo,Unknown_H3,Unknown_H3,99.6796321806715,,1
PH5CH8,Lipo,Unknown_H4,Unknown_H4,99.38507573808748,,1
PH5CH8,Lipo,Unknown_H5,Unknown_H5,99.798005330495,,1
PH5CH8,Lipo,Unknown_H6,Unknown_H6,-56.96208878664621,,1
PH5CH8,Lipo,Unknown_H7,Unknown_H7,99.03197505551321,,1
THLE2,AAV2,Empty Vector,Control,-12.467985318874808,,1
THLE2,AAV2,GPC3 Scram,GPC3,-23.65210935174903,3.9273241004225636,2
THLE2,AAV2,GPC3.1,GPC3,-29.149325857674178,6.98612749322384,2
THLE2,AAV2,GPC3.2,GPC3,-24.632125398617035,5.930673520717203,2
THLE2,AAV2,GPC3.3,GPC3,-26.060339355365727,3.753044779621732,2
THLE2,AAV2,GPC3.4,GPC3,-21.601827606286605,15.379891229998387,2
THLE2,AAV2,IGFBP1 Scram,IGFBP1,-7.509053689290052,27.752112504882604,2
THLE2,AAV2,IGFBP1.1,IGFBP1,-14.699254423590347,2.0548279655476818,2
THLE2,AAV2,IGFBP1.2,IGFBP1,-26.245678545504237,14.729248432341963,2
THLE2,AAV2,IGFBP1.3,IGFBP1,-25.004633988144917,22.89863473332642,2
THLE2,AAV2,IGFBP1.4,IGFBP1,-23.60708620417753,1.5843313173131062,2
THLE2,AAV2,PDGFRA Scram,PDGFRA,-26.711080422343148,2.7692581449757636,2
THLE2,AAV2,PDGFRA.1,PDGFRA,-15.588329406348244,0.8410846561288794,2
THLE2,AAV2,PDGFRA.2,PDGFRA,-24.32412151735328,4.16447051615254,2
THLE2,AAV2,PDGFRA.3,PDGFRA,-16.46687051808444,2.534009820858477,2
THLE2,AAV2,PDGFRA.4,PDGFRA,-20.76367311201969,0.7120144264664591,2
THLE2,AAV2,PDL1 Scram,PDL1,-33.41001232239218,4.032064246686024,2
THLE2,AAV2,PDL1.1,PDL1,-27.205033563495697,12.065593202544544,2
THLE2,AAV2,PDL1.2,PDL1,-29.370943862296684,7.131705368123814,2
THLE2,AAV2,PDL1.3,PDL1,-4.580515531308215,12.67476557436023,2
THLE2,AAV2,PDL1.4,PDL1,-13.736116973147073,14.479333036672145,2
THLE2,AAV2,Unknown_F7,Unknown_F7,-37.04720750231243,,1
THLE2,AAV2,Unknown_G1,Unknown_G1,-15.669061969970134,,1
THLE2,AAV2,Unknown_G2,Unknown_G2,-19.051044637685166,,1
THLE2,AAV2,Unknown_G3,Unknown_G3,-35.46598805219065,,1
THLE2,AAV2,Unknown_G4,Unknown_G4,-39.9890451808506,,1
THLE2,AAV2,Unknown_G5,Unknown_G5,-21.55517760604766,,1
THLE2,AAV2,Unknown_G6,Unknown_G6,-21.143746566451192,,1
THLE2,AAV2,Unknown_G7,Unknown_G7,-33.01253154441903,,1
THLE2,AAV2,Unknown_H1,Unknown_H1,12.725455089156101,,1
THLE2,AAV2,Unknown_H2,Unknown_H2,-1.286626935535251,,1
THLE2,AAV2,Unknown_H3,Unknown_H3,-11.615270493234275,,1
THLE2,AAV2,Unknown_H4,Unknown_H4,-17.144210626174573,,1
THLE2,AAV2,Unknown_H5,Unknown_H5,-20.578984662948162,,1
THLE2,AAV2,Unknown_H6,Unknown_H6,-12.065990024749507,,1
THLE2,AAV2,Unknown_H7,Unknown_H7,-17.702627804274584,,1
THLE2,Lipo,Empty Vector,Control,61.10129055677604,,1
THLE2,Lipo,GPC3 Scram,GPC3,56.98194656051613,1.448882528903701,2
THLE2,Lipo,GPC3.1,GPC3,52.65078947936385,0.6866451285795988,2
THLE2,Lipo,GPC3.2,GPC3,54.52996950472482,4.420400630432674,2
THLE2,Lipo,GPC3.3,GPC3,62.23292558911947,2.5244017691422647,2
THLE2,Lipo,GPC3.4,GPC3,57.26914706960574,5.734222514848812,2
THLE2,Lipo,IGFBP1 Scram,IGFBP1,56.76709890420698,0.26785290774681003,2
THLE2,Lipo,IGFBP1.1,IGFBP1,53.21890459960829,12.688772822945547,2
THLE2,Lipo,IGFBP1.2,IGFBP1,58.12311881731233,3.5570056888446033,2
THLE2,Lipo,IGFBP1.3,IGFBP1,52.14241206501007,12.609195557151232,2
THLE2,Lipo,IGFBP1.4,IGFBP1,56.82523262234874,3.332190716835546,2
THLE2,Lipo,PDGFRA Scram,PDGFRA,63.85130587671695,5.011528517018779,2
THLE2,Lipo,PDGFRA.1,PDGFRA,52.76553962993898,8.727566122250474,2
THLE2,Lipo,PDGFRA.2,PDGFRA,57.4914944524164,9.527262466642647,2
THLE2,Lipo,PDGFRA.3,PDGFRA,65.4458864542027,4.813566274145254,2
THLE2,Lipo,PDGFRA.4,PDGFRA,68.86576173889117,4.593962448201331,2
THLE2,Lipo,PDL1 Scram,PDL1,64.1422345735472,1.9485394751468839,2
THLE2,Lipo,PDL1.1,PDL1,63.922444900930685,1.5409665452542947,2
THLE2,Lipo,PDL1.2,PDL1,52.78483083394575,1.4879354705916734,2
THLE2,Lipo,PDL1.3,PDL1,50.76406637648114,4.255237953968978,2
THLE2,Lipo,PDL1.4,PDL1,53.01424443305552,5.127154652063535,2
THLE2,Lipo,Unknown_F7,Unknown_F7,50.17431909713698,,1
THLE2,Lipo,Unknown_G1,Unknown_G1,50.39653642688692,,1
THLE2,Lipo,Unknown_G2,Unknown_G2,55.65041997384633,,1
THLE2,Lipo,Unknown_G3,Unknown_G3,59.28141472710332,,1
THLE2,Lipo,Unknown_G4,Unknown_G4,59.3370774370914,,1
THLE2,Lipo,Unknown_G5,Unknown_G5,54.76857352012545,,1
THLE2,Lipo,Unknown_G6,Unknown_G6,52.31984779085215,,1
THLE2,Lipo,Unknown_G7,Unknown_G7,49.35481141052113,,1
THLE2,Lipo,Unknown_H1,Unknown_H1,71.46912055736036,,1
THLE2,Lipo,Unknown_H2,Unknown_H2,61.843546725324316,,1
THLE2,Lipo,Unknown_H3,Unknown_H3,64.58419822489338,,1
THLE2,Lipo,Unknown_H4,Unknown_H4,61.49587154299999,,1
THLE2,Lipo,Unknown_H5,Unknown_H5,56.97696119318854,,1
THLE2,Lipo,Unknown_H6,Unknown_H6,53.84779785022911,,1
THLE2,Lipo,Unknown_H7,Unknown_H7,53.97819771911085,,1
